cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00003392,C00563759,2016,1470000.00,11,O,P00003392,C00563759,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",NATIONAL CAMPAIGN
P00003392,C00564690,2016,39365.00,10,S,P00003392,C00564690,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CAPA21-FEDERAL
P00003392,C00564716,2016,38968.00,4,O,P00003392,C00564716,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",GROW WV INC
P00003392,C00564765,2016,36332.18,7,O,P00003392,C00564765,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","FREEDOM PARTNERS ACTION FUND, INC."
P00003392,C00566174,2016,1768599.36,678,O,P00003392,C00566174,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TEA PARTY MAJORITY FUND
P00003392,C00566174,2016,25285.39,50,S,P00003392,C00566174,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TEA PARTY MAJORITY FUND
P00003392,C00566208,2016,1660.03,3,S,P00003392,C00566208,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",EVERY VOICE ACTION
P00003392,C00568931,2016,131674.39,48,S,P00003392,C00568931,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",MI PLANNED PARENTHOOD VOTES
P00003392,C00569517,2016,14410.04,4,O,P00003392,C00569517,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",CITIZEN SUPER PAC
P00003392,C00569731,2016,697.60,3,S,P00003392,C00569731,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FIRST GENTLEMAN
P00003392,C00569905,2016,521110.41,99,O,P00003392,C00569905,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",THE 2016 COMMITTEE
P00003392,C00569905,2016,708.87,1,S,P00003392,C00569905,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",THE 2016 COMMITTEE
P00003392,C00570903,2016,5000.00,1,O,P00003392,C00570903,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RESTORE AMERICAN FREEDOM AND LIBERTY
P00003392,C00571588,2016,509572.00,20,O,P00003392,C00571588,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RESTORATION PAC
P00003392,C00572792,2016,164500.00,8,O,P00003392,C00572792,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",VICTORY 2016
P00003392,C00573725,2016,230.28,1,S,P00003392,C00573725,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",TEXAS FEDERAL BLUE SEED PAC
P00003392,C00573741,2016,109.97,1,S,P00003392,C00573741,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICA'S TEACHERS
P00003392,C00573790,2016,12390.30,8,S,P00003392,C00573790,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AMERICA'S OPPORTUNITY FUND
P00003392,C00574061,2016,4000.00,1,O,P00003392,C00574061,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LOUISIANA VICTORY FUND
P00003392,C00574178,2016,11072.78,3,O,P00003392,C00574178,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",RIGHT TO LIFE OF MICHIGAN VICTORY FUND
P00003392,C00574533,2016,24195702.19,208,O,P00003392,C00574533,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FUTURE45
P00003392,C00574681,2016,235000.00,10,O,P00003392,C00574681,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",VOTER EDUCATION
P00003392,C00575373,2016,4356616.50,39,O,P00003392,C00575373,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",MAKE AMERICA NUMBER 1
P00003392,C00581934,2016,4058740.81,15,O,P00003392,C00581934,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",REFORM AMERICA FUND
P00003392,C00582775,2016,409.76,1,S,P00003392,C00582775,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",LIBERTY PA 2016
P00003392,C00586610,2016,191820.01,9,S,P00003392,C00586610,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",STAND UP FOR OHIO PAC
P00003392,C00587022,2016,101.03,2,O,P00003392,C00587022,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",COURAGEOUS CONSERVATIVES PAC
P00003392,C00589507,2016,93674.19,36,S,P00003392,C00589507,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",AAPI VICTORY FUND
P00003392,C00596973,2016,480486.50,10,O,P00003392,C00596973,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",FUTURE IN AMERICA INC.
P00003392,C00608489,2016,4513.32,1,O,P00003392,C00608489,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",GREAT AMERICA PAC
P00003392,C00609388,2016,1026614.05,9,S,P00003392,C00609388,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",BLACK PAC
P00003392,C00612820,2016,3460179.03,56,S,P00003392,C00612820,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",IMMIGRANT VOTERS WIN PAC
P00003392,C00613091,2016,2996.56,2,O,P00003392,C00613091,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE",WISCONSIN RIGHT TO LIFE VICTORY FUND
